email,plate,parkingSpot,duration
john.doe@yorku.ca,AB1234,PS001 - A1 (LotA),2
jane.smith@yorku.ca,CD5678,PS002 - A2 (LotA),1
pratham@gmail.com,nadcxjnh,PS001 - A1 (LotA),2
pratham@gmail.com,dhue,PS002 - A2 (LotA),2
Harsh011@my.yorku.ca,harsjnmm,PS003 - A3 (LotA),15
Harsh011@my.yorku.ca,harshs,PS004 - A4 (LotA),2
Harsh011@my.yorku.ca,ccc,PS005 - A5 (LotA),1
harsh0111@my.gmail.com,fgrgre,PS008 - A8 (LotA),1
harsh0111@my.gmail.com,fgrgre,PS008 - A8 (LotA),0
harsh0111@my.gmail.com,cndncd,PS013 - A13 (LotA),1
harsh0111@my.gmail.com,cndncd,PS013 - A13 (LotA),0
harsh0111@my.gmail.com,defev,PS009 - A9 (LotA),1
harsh0111@my.gmail.com,defev,PS009 - A9 (LotA),0
harsh0111@my.gmail.com,dcdomc,PS010 - A10 (LotA),0
harsh0111@my.gmail.com,wmdm,PS011 - A11 (LotA),0
harsh0111@my.gmail.com,kmndlc,PS012 - A12 (LotA),1
