PaymentID,Username,Method,Card/Mobile,Amount
PAY502134,john,Credit Card,1234567812345678,5.0
PAY854210,john,Credit Card,1234567812345678,15.0

PAY364768,meet,Credit Card,1234567812345678,5.0
PAY161117,meet@11,Credit Card,1234567812345678,5.0
PAY110047,harsh011@,Credit Card,1234567891234567,5.0
PAY118706,harsh011@,Credit Card,1234567812345678,5.0
PAY399266,harsh011@,Credit Card,1234567812345678,5.0

PAY802884,khatri26,Mobile Payment,4379860464,0.0
PAY200291,ali@gmail,Credit Card,1234567812345678,20.0
